,Type,Address,District,City,Price (€),Area (sqm.),Year built,Form of ownership
177,Omakotitalo | 5H + K,Lähteensilmäntie 15,Sundom,Vaasa,159 000,124,1977,Omistusasunto
178,"Omakotitalo | 5h, k, rt, pkh, khh, ph, s, 2 vh, 3 wc, kph + kellari, varasto",Kylvötie 10b,Niipperi,Espoo,575 000,167,2006,Omistusasunto
179,"Luhtitalo | Kolme erillistä asuinhuoneistoa, 4h + k 120 m2,2 h + k 60m2,1h + k 27 m2",Ylämaantie 2571,Ylämaa,Lappeenranta,95 000,210,1953,Omistusasunto
180,Kerrostalo | 2h + k + kph,Hämeenpuisto 42,Keskusta,Tampere,189 000,43,1963,Omistusasunto
181,"Rivitalo | 4h, k, kh, s, parveke, lasitettu terassi",Mustikkatie 26,,Kuopio,139 500,87,1974,Omistusasunto
182,"Kerrostalo | 2h, k, kph, s",Pitkänmöljäntie 21,Toppilansaari,Oulu,139 500,"41,5",2008,Omistusasunto
183,"Kerrostalo | 2h, k, kph, las.parveke",Kaupintie 4,Haaga,Helsinki,209 000,60,1978,Omistusasunto
184,"Kerrostalo | 1h, k, kph / wc",Keskuspuistokatu 4,Keskusta,Kemi,35 000,36,1954,Omistusasunto
185,Kerrostalo | 2h + kk + kph,Jousimiehentie 2,Keskusta,Rovaniemi,87 000,44,1973,Omistusasunto
186,"Kerrostalo | Saunallinen yksiö, lasitetulla parvekkeella",Pesätie 22,Kaakkuri,Oulu,92 000,38,2011,Omistusasunto
187,"Rivitalo | 4h, avok, kph, wc, vh",Vanha Tampereentie 884,Ilmarinen,Lieto,225 000,119,1971,Omistusasunto
188,"Kerrostalo | 1h, pk, wc",Meritullinkatu 6,Kruununhaka,Helsinki,249 000,"23,5",1874,Omistusasunto
189,Kerrostalo | 3h + k + s,Sibeliuksenbulevardi 9 A 5,Keskusta,Porvoo,328 500,73,2022,Omistusasunto
190,Kerrostalo | 3h + k + kph + wc + lasp,Kotikonnuntie 3,Kontula,Helsinki,187 000,"73,5",1967,Omistusasunto
191,"Omakotitalo | 4h, k, s, at, pihavarasto",Papusenkatu 14,Pohtola,Tampere,185 000,90,-,Omistusasunto
192,"Omakotitalo | 5mh, oh, k, khh, 3wc, s, kph, vh, aula, autotalli",Tiilipolku 15,Saarento,Kouvola,390 000,280,1965,Omistusasunto
193,"Rivitalo | oh, k, mh, vh, kph, s, autokatos",Mattilantie 1 E,Keskusta,Eurajoki,73 000,62,1987,Omistusasunto
194,Kerrostalo | 3h + kt + vh( / s),Kalliomäenkaari 33 A 38,Söderkulla,Sipoo,284 400,67,-,Omistusasunto
195,Kerrostalo | 3h + kt + vh( / s),Kalliomäenkaari 33 A 36,Söderkulla,Sipoo,250 700,60,-,Omistusasunto
